date,count,avg_age,Canvas,Canvas - Admin,Canvas - Assessments,Canvas - Commons,Canvas - Communications,Canvas - Core Services,Canvas - Gradebook,Canvas - None,Canvas - Notification Service,Canvas - Outcomes,Canvas - Platform,Canvas - Quizzes,Canvas - Rich Content Service,Canvas - SIS,Canvas - Support,Canvas - UI Dev,Canvas - admin,Canvas - analytics,Canvas - assessments,Canvas - canvas_core_services,Canvas - catalog,Canvas - commons,Canvas - communications,Canvas - gradebook,Canvas - infrastructure,Canvas - ios,Canvas - platform,Canvas - quizzes,Canvas - sis,Canvas - support,Canvas - ui_dev,Canvas - unassigned,Catalog,Catalog - Catalog,Catalog - None,Commons,Commons - Admin,Commons - Communications,Commons - None,Mobile,Mobile - Admin,Mobile - Android,Mobile - Assessments,Mobile - None,Mobile - WebAPI,Mobile - android,Mobile - iOS,Mobile - ios,Mobile - unassigned,Notorious,Notorious - infrastructure,Notorious - tweed,Ops,Ops - support,Platform,Platform - Admin,Platform - Communications,Platform - None,Platform - admin,Platform - canvas_core_services,Platform - gradebook,Platform - platform,Pro Serve,Pro Serve - None,Professional Services,Professional Services - None,Ranchero Dos,Ranchero Dos - None,Ranchero Dos - commons,Re:Canvas,Re:Canvas - None,SIS,SIS - None,SIS - sis
2015-01-01,1111,205.35256775677567,218.91801454505685,161.51534485479797,245.9212847222222,"",278.4991025003846,228.57135265700484,150.0941350204528,261.0742149758454,"","","","","","",196.92427083333334,130.0067781986532,53.54831633457978,"",116.54881724537037,108.56554126736111,"","",308.8263558201058,163.77322154471545,534.1250810185185,"","","","",14.10326774691358,"",39.34707175925926,74.81755902777778,74.81755902777778,"",38.25747556584362,"","",38.25747556584362,40.43600335249042,"",27.18057692307692,"","","","",44.27307098765432,"","","","","","","",88.87071483961641,88.93427083333333,"",89.01583397955248,"","","","","","","","","","","","","",151.5697401094276,152.82671412037035,139.28829861111112
2015-01-02,1112,206.1669989008793,219.70177264284933,162.51534485479797,246.9212847222222,"",279.4991025003846,229.57135265700484,151.0941350204528,262.0742149758454,"","","","","","",197.92427083333334,131.0067781986532,54.54831633457978,"",117.54881724537037,109.56554126736111,"","",309.8263558201058,164.77322154471545,535.1250810185185,"","","","",11.327450810185185,"",40.34707175925926,75.81755902777778,75.81755902777778,"",39.25747556584362,"","",39.25747556584362,41.43600335249042,"",28.18057692307692,"","","","",45.27307098765432,"","","","","","","",89.87071483961641,89.93427083333333,"",90.01583397955248,"","","","","","","","","","","","","",152.5697401094276,153.82671412037035,140.28829861111112
2015-01-03,1111,206.64509700970098,220.14439249781276,161.6477051404853,251.03421237693388,"",276.3279849036527,230.06700483091788,152.0941350204528,263.0742149758454,"","","","","","",198.92427083333334,142.8074560185185,55.927342695794756,"",118.54881724537037,88.85243301388888,"","",310.8263558201058,165.77322154471545,536.1250810185185,"","","","",23.15490162037037,"",41.34707175925926,76.81755902777778,76.81755902777778,"",40.25747556584362,"","",40.25747556584362,42.43600335249042,"",29.18057692307692,"","","","",46.27307098765432,"","","","","","","",90.87071483961641,90.93427083333333,"",91.01583397955248,"","","","","","","","","","","","","",153.5697401094276,154.82671412037035,141.28829861111112
2015-01-04,1113,207.27197015074373,220.70992414320017,161.71828968253968,252.03421237693388,"",277.3279849036527,231.06700483091788,153.0941350204528,264.0742149758454,"","","","","","",199.92427083333334,143.8074560185185,56.927342695794756,"",79.69921149691358,89.85243301388888,"","",311.8263558201058,166.77322154471545,537.1250810185185,"","","","",24.15490162037037,"",42.34707175925926,77.81755902777778,77.81755902777778,"",41.25747556584362,"","",41.25747556584362,43.43600335249042,"",30.18057692307692,"","","","",47.27307098765432,"","","","","","","",91.87071483961641,91.93427083333333,"",92.01583397955248,"","","","","","","","","","","","","",154.5697401094276,155.82671412037035,142.28829861111112
2015-01-05,1115,207.89838814150474,221.2751988017429,162.71828968253968,253.03421237693388,"",277.5020858386567,232.06700483091788,154.0941350204528,265.0742149758454,"","","","","","",200.92427083333334,144.8074560185185,57.927342695794756,"",80.69921149691358,90.85243301388888,"","",312.8263558201058,167.77322154471545,538.1250810185185,"","","","",16.76993441358025,"",43.34707175925926,78.81755902777778,78.81755902777778,"",42.25747556584362,"","",42.25747556584362,44.43600335249042,"",31.18057692307692,"","","","",48.27307098765432,"","","","","","","",92.87071483961641,92.93427083333333,"",93.01583397955248,"","","","","","","","","","","","","",155.5697401094276,156.82671412037035,143.28829861111112
2015-01-06,1111,209.0717396739674,221.67747578626617,163.85460169220946,251.07218706047817,"",276.8737549487531,234.9974171539961,155.0941350204528,266.0742149758454,"","","","","","",201.92427083333334,145.8074560185185,58.927342695794756,"",81.69921149691358,91.85243301388888,"","",306.5280684754522,164.75481150793652,539.1250810185185,"","","","",23.65490162037037,"",44.34707175925926,72.5614172979798,72.5614172979798,"",41.0352533436214,"","",41.0352533436214,46.15938835470085,"",26.023166666666665,"","","","",54.33211336336336,"","","","","","","",93.87071483961641,93.93427083333333,"",94.01583397955248,"","","","","","","","","","","","","",156.5697401094276,157.82671412037035,144.28829861111112
2015-01-07,1118,208.28327618763666,220.3637891046386,164.58208493898522,234.29062091503266,"",278.65444653144175,230.7388409961686,154.93022934004156,267.0742149758454,"","","","","","",194.8073,133.46132365319866,59.927342695794756,"",82.69921149691358,92.85243301388888,"","",300.5387941919192,169.77322154471545,540.1250810185185,"","","","",24.65490162037037,"",45.34707175925926,62.24427617521368,62.24427617521368,"",36.031728009259254,"","",36.031728009259254,49.23517071759259,"",21.352638888888887,"","","","",65.97627314814814,"","","","","","","",94.87071483961641,94.93427083333333,"",95.01583397955248,"","","","","","","","","","","","","",169.02671412037037,171.69634902263374,145.28829861111112
2015-01-08,1109,209.21975002504757,221.49922222222222,165.67678984788358,237.8178902116402,"",278.770510110995,229.75816714150048,156.91605282867198,268.0742149758454,"","","","","","",208.44271739130434,134.46132365319866,60.927342695794756,"",83.69921149691358,93.85243301388888,"","",301.5387941919192,166.70719246031746,541.1250810185185,"","","","",17.10326774691358,"",46.34707175925926,61.78273771367522,61.78273771367522,"",41.0352533436214,"","",41.0352533436214,49.256004050925924,"",23.584218749999998,"","","","",62.102756076388886,"","","","","","","",88.72785769675927,95.93427083333333,"",87.68250064621914,"","","","","","","","","","","","","",118.75244874338624,137.05342824074074,73.14414930555556
2015-01-09,1107,209.50379654722474,221.29210797054364,158.35291101421188,253.45193389592123,"",278.40647919890387,234.7452657004831,155.77529535801426,269.0742149758454,"","","","","","",218.05375,124.1728800154321,61.927342695794756,"",124.54881724537037,94.85243301388888,"","",302.5387941919192,167.70719246031746,542.1250810185185,"","","",1.2968055555555555,13.327450810185185,"",47.34707175925926,58.2982564484127,58.2982564484127,"",37.83172800925926,"","",37.83172800925926,50.30400413711584,"",22.709218749999998,"","","","",64.55768369175627,"","","","","","","",120.0237509693287,"","",120.0237509693287,"","","","","","","","","","","","","",139.5445235339506,138.05342824074074,147.28829861111112
2015-01-10,1093,211.82406475551488,222.61955086225714,156.6172660383598,255.36798433048432,"",281.4279018623956,235.7452657004831,157.83499124480346,258.8211226851852,"","","","","","",219.05375,136.46132365319866,62.927342695794756,"",125.54881724537037,95.85243301388888,"","",303.5387941919192,168.70719246031746,543.1250810185185,"","","","",8.884967206790124,"",48.34707175925926,68.68129918981482,68.68129918981482,"",43.0352533436214,"","",43.0352533436214,53.62018623737374,"",27.278958333333332,"","","","",63.509006076388886,"","","","","","","",121.0237509693287,"","",121.0237509693287,"","","","","","","","","","","","","",140.5445235339506,139.05342824074074,148.28829861111112
